"COD_INE";"ID_REL";"COD_GEO";"COD_PROV";"PROVINCIA";"NOMBRE_ACTUAL";"POBLACION_MUNI";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"HOJA_MTN25_ETRS89";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD"
"02056000000";"1020560";"02550";"02";"Albacete";"Ontur";2072;5438.15;30462.00;"02056000101";"Ontur";"2072";"0844-1";-1.49;38.61;"Mapa";653.00;"MDT5"
"02057000000";"1020576";"02560";"02";"Albacete";"Ossa de Montiel";2411;24350.24;69150.00;"02057000201";"Ossa de Montiel";"2332";"0788-1";-2.74;38.96;"Mapa";898.00;"MDT5"
"02058000000";"1020582";"02570";"02";"Albacete";"Paterna del Madera";359;11233.83;53946.00;"02058000601";"Paterna del Madera";"294";"0841-2";-2.34;38.59;"Mapa";1126.00;"MDT5"
"02059000000";"1020595";"02590";"02";"Albacete";"Peñascosa";328;18925.80;106221.00;"02059000501";"Peñascosa";"198";"0815-3";-2.41;38.67;"Mapa";1169.00;"MDT5"
"02060000000";"1020609";"02580";"02";"Albacete";"Peñas de San Pedro";1436;15872.36;73286.00;"02060000701";"Peñas de San Pedro";"1037";"0816-4";-2.00;38.72;"Mapa";1010.00;"MDT5"
"02061000000";"1020616";"02600";"02";"Albacete";"Pétrola";719;7460.73;40804.00;"02061000201";"Pétrola";"568";"0817-2";-1.55;38.82;"Mapa";870.00;"MDT5"
"02062000000";"1020621";"02610";"02";"Albacete";"Povedilla";452;4942.73;35557.00;"02062000101";"Povedilla";"435";"0814-4";-2.60;38.70;"Mapa";872.00;"MDT5"
"02063000000";"1020637";"02630";"02";"Albacete";"Pozohondo";1653;13648.62;49358.00;"02063000501";"Pozohondo";"1064";"0816-4";-1.91;38.72;"Mapa";871.00;"MDT5"
"02064000000";"1020642";"02620";"02";"Albacete";"Pozo-Lorente";414;8095.52;36474.00;"02064000101";"Pozo-Lorente";"414";"0767-3";-1.50;39.07;"Mapa";769.00;"MDT5"
"02065000000";"1020655";"02640";"02";"Albacete";"Pozuelo";514;13397.79;48394.00;"02065000201";"Pozuelo";"479";"0816-1";-2.10;38.80;"Mapa";845.00;"MDT5"
"02066000000";"1020668";"02650";"02";"Albacete";"La Recueja";260;2973.91;39019.00;"02066000101";"La Recueja";"260";"0744-3";-1.48;39.17;"Mapa";542.00;"MDT5"
"02067000000";"1020674";"02660";"02";"Albacete";"Riópar";1391;8092.00;55582.00;"02067000401";"Riópar";"1197";"0841-3";-2.41;38.49;"Mapa";1126.00;"MDT5"
"02068000000";"1020680";"02670";"02";"Albacete";"Robledo";366;12008.43;51626.00;"02068000301";"Robledo";"225";"0815-1";-2.44;38.75;"Mapa";1041.00;"MDT5"
"02069000000";"1020693";"02680";"02";"Albacete";"La Roda";15603;39889.13;127688.00;"02069000101";"La Roda";"15512";"0742-3";-2.15;39.20;"Mapa";708.00;"MDT5"
"02070000000";"1020707";"02690";"02";"Albacete";"Salobre";523;4952.86;39261.00;"02070000201";"Salobre";"350";"0840-2";-2.55;38.59;"Mapa";920.00;"MDT5"
"02071000000";"1020714";"02700";"02";"Albacete";"San Pedro";1179;8311.59;37014.00;"02071000401";"San Pedro";"1083";"0816-1";-2.18;38.82;"Mapa";844.00;"MDT5"
